Question,Ground Truth,CDR,NYU,JPL,HG
30,260,239,,,
42,238,222,,,
43,179,170,,,
36,223,223,,,
32,246,239,,,
24,190,182,,,
25,208,208,,,
26,179,179,,,
27,243,243,,,
20,177,177,,,
21,228,226,,,
22,256,247,,,
23,156,152,,,
46,188,189,,,
47,175,174,,,
44,199,199,,,
45,158,155,,,
28,123,120,,,
29,246,235,13,67,69
40,177,175,,,
41,177,177,,,
1,124,123,,,
3,201,174,0,0,15
2,155,155,,,
5,132,132,,,
4,36,27,,,
7,229,228,,,
6,227,219,,,
9,208,208,,,
8,42,40,,,
39,136,136,,,
38,98,97,,,
11,162,162,,,
10,113,110,,,
13,121,121,,,
12,222,204,,,
15,107,101,,,
14,143,132,,,
17,222,219,0,31,73
16,117,108,,,
19,153,147,2,55,39
18,243,242,,,
31,184,184,,,
49,241,232,8,72,49
37,206,205,6,2,152
50,136,134,4,46,53
35,126,125,,,
34,149,147,,,
33,236,236,,,
48,99,21,,,
